Date,FR Cas Confirmés,FR Décès,WW Cas Confirmés,WW Décès
2020-01-25,3.0,0.0,1329.0,41.0
2020-01-26,3.0,0.0,2026.0,56.0
2020-01-27,3.0,0.0,2820.0,81.0
2020-01-28,4.0,0.0,0.0,0.0
2020-01-29,5.0,0.0,6072.0,132.0
2020-01-30,6.0,0.0,7790.0,170.0
2020-01-31,6.0,0.0,9831.0,213.0
2020-02-03,6.0,0.0,17383.0,362.0
2020-02-05,6.0,0.0,24530.0,493.0
2020-02-06,6.0,0.0,28284.0,565.0
2020-02-07,11.0,0.0,31503.0,638.0
2020-02-08,11.0,0.0,34945.0,724.0
2020-02-10,11.0,0.0,40553.0,910.0
2020-02-11,11.0,0.0,43118.0,1018.0
2020-02-12,11.0,0.0,45179.0,1116.0
2020-02-20,12.0,1.0,75744.0,2128.0
2020-02-26,17.0,2.0,81027.0,2764.0
2020-02-28,38.0,2.0,0.0,0.0
2020-02-29,73.0,2.0,0.0,0.0
2020-03-02,178.0,3.0,0.0,0.0
2020-03-03,212.0,4.0,90663.0,3125.0
2020-03-04,285.0,4.0,93076.0,3202.0
2020-03-05,423.0,5.0,95315.0,3282.0
2020-03-06,613.0,9.0,98171.0,3385.0
2020-03-07,949.0,11.0,101855.0,3488.0
2020-03-08,1126.0,19.0,105828.0,3584.0
2020-03-09,1412.0,30.0,109695.0,3811.0
2020-03-10,1784.0,33.0,0.0,0.0
2020-03-11,2281.0,48.0,118628.0,4292.0
2020-03-12,2876.0,61.0,125518.0,4617.0
2020-03-13,3661.0,79.0,133860.0,4967.0
2020-03-14,4499.0,91.0,143247.0,5407.0
2020-03-15,5423.0,127.0,151363.0,5758.0
2020-03-16,6633.0,148.0,167414.0,6507.0
2020-03-17,7730.0,175.0,180160.0,7103.0
2020-03-18,9134.0,244.0,194213.0,7869.0
2020-03-19,10995.0,372.0,213254.0,8843.0
2020-03-20,12612.0,450.0,242488.0,9885.0
2020-03-21,14459.0,562.0,271364.0,11252.0
2020-03-22,16689.0,674.0,305275.0,12942.0
2020-03-23,19856.0,860.0,338307.0,14602.0
2020-03-24,22302.0,1100.0,378041.0,16365.0
